Response ID,"If you agree to these conditions, please click ""I consent to participate"" below. If you do not agree, click the “I do not consent to participate” option.

By agreeing to participate, you confirm that you are over 18 years of age.

 

I have read the above information.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","In Novel A, how long is the trail that Sam takes?","In Novel A, what plant does Sam rest against?","In Novel B, when does Alex go to the cafe?","In Novel B, what is the material of the chair Alex sketches?",chosen_story,"Your opinion is fundamental to understand reader preferences. Please take your time to answer this question.

In your own words, briefly share your motivation for your choice (minimum 200 characters, or about 40 words).",Your age:,gender,Your gender - Prefer to self describe: - Text,What was your total family income before taxes during the past 12 months?,List of Countries,Do you currently reside in the United States?,What is your current United States Zip Code?,How would you describe your political views?,"In Novel A, when does Alex go to the cafe?","In Novel A, what is the material of the chair Alex sketches?","In Novel B, how long is the trail that Sam takes?","In Novel B, what plant does Sam rest against?",boh,first_gender,first_story,chose_woman,Treatment A,chose_hike,respondent_woman
R_7rxJeX0686uzPHi,I consent to participate.,6091bd96d843a1deae56e0db,6 miles,Juniper tree,Morning,Wood,Novel A,Novel A has more information about a potential mystery or backstory that I would be interested in learning more about. The letter clearly states something that is important to the character. She moved from far away to a new city and a whole new climate. Is that because of what is in the letter? What could it all mean? Those are the questions I want answers to. Novel B is more of a set up something is coming that you do not yet know about. Does the character submit his art or not? While it is still something to wonder about it is not as interesting or as engaging as the mystery about the letter and why Novel A's character moved.,25-35,Man,,"$100,000-$199,999",United States of America,Yes,62035,Moderate,,,,,,W,Hike,1,Hike,1,0
R_1Mng04p43Zl3xvb,I consent to participate.,5c57890153fba80001bd3ba1,,,,,Novel B,"Novel B drew me in with the suspense of exactly _why_ Sam chose to go down that trail with that note that says ""Read me at the end."" I really wanna know what was in that note and what was so important about her taking the day off of work and going down that trail!",36-45,Man,,"Less than $25,000",United States of America,Yes,62521,Moderate,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,0
R_1IHhRxaGPtHjhQ2,I consent to participate.,614f2b16d983019aeace1fe5,6 miles,Juniper tree,Morning,Wood,Novel A,"I prefer to read novel A because it was easier for me to imagine the scene in my head. I liked that there was more internal dialogue. I also love the outdoors, especially when it comes to plants and landscapes since I am a watercolorist and those tend to be my subjects. I also felt like novel A was more detailed in what exactly was going on compared to novel B",25-35,Woman,,"$100,000-$199,999",United States of America,Yes,02359,Very liberal,,,,,,W,Hike,1,Hike,1,1
R_1oFSEE8V2SpwrhD,I consent to participate.,662bb5980728ced80aa04876,6 miles,Juniper tree,Morning,Wood,Novel B,"I'm also interested in art and enjoy a main character I can relate too. Also the first one was good but a bit too wordy in my opinion. I would however be interested in knowing what the letter said, who it was from, and how it might affect Sam's development, however",18-24,Woman,,"$50,000-$99,999",United States of America,Yes,14851,Moderate,,,,,,W,Hike,0,Hike,0,1
R_1jVUjK5fbarEH9T,I consent to participate.,66352dc9534503854d9079bf,6 miles,Juniper tree,Morning,Wood,Novel A,"My curiosity about the contents of the note/letter is what would make me want to continue reading Novel A. I also found myself to be more invested and curious about the character than the one in Novel B. Yes she was hiking, but why had she taken the day off? Why did she want to be in that particular location to read the letter? Who was the letter from? It immediately caught my interest and had me wanting to discover more. ",36-45,Woman,,"More than $200,000",Pakistan,Yes,19147,Liberal,,,,,,W,Hike,1,Hike,1,1
R_511N85QIx3XJlWa,I consent to participate.,65fccfbedce99b1065ef1768,,,,,Novel B,"There’s more intrigue and mystery surrounding Novel B which makes me want to keep going. Why’d he move to Arizona? And more importantly, what’s in this letter that he’s apparently been putting off opening and has decided this is the day he’s ready to?! ",36-45,Woman,,"$100,000-$199,999",United States of America,Yes,54304,Liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_17nkYd5AMWNoyAN,I consent to participate.,62d140d43079cdd60f42d39e,6 miles,Juniper tree,Morning,Wood,Novel A,"I'm more interested in knowing about the contents of Sam's mysterious letter than I am about a highly focused art project.  The first story provided a good visual description, and an interesting premise with a teaser about what's to come.   While the imagery in the second was vivid, nothing was really happening.",56-65,Woman,,"$100,000-$199,999",United States of America,Yes,02360,Moderate,,,,,,M,Hike,0,Other,1,1
R_28I2PM7kOPa4NNm,I consent to participate.,62ac8345accf223f2bcaef54,,,,,Novel B,"Novel B seems to give a more mysterious ending. While novel A could be a great story of how he overcame his fear and anxiety with submitting his art to the gallery, novel B is more open ended. What does the letter say? Where will her life go after reading this? ",36-45,Woman,,"$50,000-$99,999",United States of America,Yes,49343,Very liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_5C9tFBHHKWsKid3,I consent to participate.,663804e471e1f24ecc0c756f,,,,,Novel A,"While novel A provided almost too much description of details, I liked the scene it set and found the character of Alex interesting. I was intrigued about the motivation for his art and what the rest of the day held for him.
Novel B didn't provide much I found interesting about the character or her motivations. The twist of finding a note at the end of the passage had me intrigued, but I didn't care as much about the character as I did in novel A.  Therefore, I prefer novel A.",46-55,Man,,"$100,000-$199,999",United States of America,Yes,22315,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,0,Hike,0,0
R_2mmFYhpx6iaoKZp,I consent to participate.,66463fe42ca49efed3412fdf,,,,,Novel B,"I enjoyed the sections of both novels that I read and there was enough mystery at the end of both that I would probably keep reading, but I enjoyed the desert setting more in novel B than I did the coffee shop in A.",25-35,Man,,"$50,000-$99,999",United States of America,Yes,02132,Very liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,0
R_2CllLezLv28dNNP,I consent to participate.,5f15f056399eaf732a229dc0,,,,,Novel B,"I found novel B more compelling. I wanted to know more about the character and her motivations, while I wasn't interested in the character from novel A at all. Novel B's imagery was also more appealing to me. I was able to picture the scene the character weas in more easily than I was for novel B.",25-35,Man,,"$50,000-$99,999",United States of America,Yes,05401,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,0
R_1hyxTlj9uYPzyMJ,I consent to participate.,663f6cfb25569c5027d4b65b,6 miles,Juniper tree,Morning,Wood,Novel A,I liked Novel A more because the character seemed more relatable to my life and I enjoyed her commentary. I also really liked the detailed descriptions of the scenario around the character. It really brought me back to when I was living on campus and walking around the trails myself. ,18-24,Woman,,"$50,000-$99,999",United States of America,Yes,14850,Moderate,,,,,,W,Hike,1,Hike,1,1
